Interest Rate Band,Loans,Funded_Amount,Total_Repaid,Outstanding_Principal,Recoveries,Charged_Off_Rate,Bad_Loan_Rate,Delinquency_Rate,At_Risk_Outstanding,Avg_Interest_Rate,LRR,Funded_Crores,Outstanding_Crores,At_Risk_Outstanding_Crores
<10%,53923,657513275.0,681978807.3885413,915975.05,1918464.518381273,6.759638744135156,6.920979915805871,0.0,0.0,7.934035198338371,103.72091839340298,65.7513275,0.09159750500000001,0.0
10-15%,107661,1347205825.0,1383142664.5640078,4129849.55,10293494.072677078,14.674766164163438,15.08345640482626,0.0,0.0,12.69402810674246,102.66750921775503,134.7205825,0.412984955,0.0
15-20%,70898,1028553225.0,1012332962.5424098,6129514.93,16307665.03437541,25.158678665124544,25.8498124065559,0.0,0.0,17.18838937628706,98.4230021292685,102.8553225,0.612951493,0.0
20-25%,19797,367247625.0,340859458.04642016,2475375.31,10688960.64,36.359044299641354,37.22786280749609,0.0,0.0,22.186612112946406,92.81461195192757,36.7247625,0.247537531,0.0
25-30%,1911,38724225.0,31771821.26384359,483579.87,1098567.44,40.240711669283094,41.81057038199895,0.0,0.0,25.847938252223965,82.04637087983966,3.8724225,0.048357987,0.0
30%+,0,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,0.0,0.0
