grade,Loans,Funded_Amount,Total_Repaid,Outstanding_Principal,Recoveries,Charged_Off_Rate,Bad_Loan_Rate,Delinquency_Rate,At_Risk_Outstanding,Avg_Interest_Rate,LRR,Funded_Crores,Outstanding_Crores,At_Risk_Outstanding_Crores
A,42343,515922600.0,537825883.7181526,510977.91,1386113.635281273,6.1804784734194556,6.29147674940368,0.0,0.0,7.50919963158019,104.24545924488531,51.59226,0.051097791,0.0
B,76263,943005275.0,983383914.8681679,1706634.19,6211479.56158514,12.481806380551513,12.741434247275873,0.0,0.0,11.54945858411025,104.28191028604456,94.3005275,0.17066341899999998,0.0
C,65680,870784300.0,876230130.8339059,3573519.69,9743728.554526117,19.24786845310597,19.795980511571255,0.0,0.0,14.62714327040195,100.62539377821878,87.07843,0.357351969,0.0
D,40818,579492750.0,562418753.6606281,3976933.34,9492090.46201124,25.689646724484295,26.4540153853692,0.0,0.0,17.576955999804007,97.05363072456524,57.949275,0.397693334,0.0
E,19387,340494100.0,318264288.7600156,2805647.39,7720835.59319153,32.279362459379996,33.31613968122969,0.0,0.0,20.342178779594573,93.47130794924658,34.04941,0.280564739,0.0
F,7739,147869775.0,134681135.7056454,1197780.18,4469370.31883846,37.91187491924021,38.93267864065125,0.0,0.0,23.4306473704613,91.08090933772328,14.7869775,0.119778018,0.0
G,1960,41675375.0,37281606.258707,362802.01,1283533.58,40.40816326530612,41.53061224489796,0.0,0.0,25.0489693877551,89.45715847477558,4.1675375,0.036280201,0.0
