grade,purpose,Loans,Funded_Amount,Total_Repaid,Outstanding_Principal,Recoveries,Charged_Off_Rate,Bad_Loan_Rate,Delinquency_Rate,At_Risk_Outstanding,Avg_Interest_Rate,LRR,Funded_Crores,Outstanding_Crores,At_Risk_Outstanding_Crores
C,house,460,6042425.0,2607473.47999429,4238136.6,0.0,0.0,0.0,3.6956521739130435,100560.23999999999,13.988021739130435,43.15276532177545,0.6042425,0.42381366,0.010056023999999998
C,major_purchase,2935,35135375.0,11319421.16,27517243.65,0.0,0.0,0.0,3.3049403747870527,972524.99,13.687393526405451,32.2165941305593,3.5135375,2.751724365,0.09725249899999999
C,medical,1855,15205400.0,4677639.84,11975291.65,0.0,0.0,0.0,3.1266846361185987,403399.79,13.655185983827492,30.76301734909966,1.52054,1.197529165,0.040339979
C,moving,1051,7730000.0,2358280.18,6065937.47,0.0,0.0,0.0,3.7107516650808754,227885.42,13.703387250237869,30.508152393272965,0.773,0.606593747,0.022788542000000002
C,other,8893,80384375.0,26139737.42,62239769.24,0.0,0.0,0.0,3.1485437984931965,1926204.09,13.703419543461148,32.51843087664736,8.0384375,6.2239769240000005,0.19262040900000002
C,renewable_energy,83,762625.0,214859.0,608927.67,0.0,0.0,0.0,2.4096385542168677,26100.0,13.650361445783133,28.173610883461723,0.0762625,0.06089276700000001,0.00261
C,small_business,1362,19379125.0,7728543.9,13911237.52,0.0,0.0,0.0,2.7900146842878124,356976.36,13.951409691629955,39.880768094534716,1.9379125,1.391123752,0.035697636
C,vacation,1128,6629825.0,2063350.56,5186552.27,0.0,0.0,0.0,3.0141843971631204,166600.4,13.643590425531915,31.12224772147078,0.6629825,0.518655227,0.01666004
C,wedding,60,673475.0,726997.75,148383.31,0.0,0.0,0.0,1.6666666666666667,2666.04,15.080000000000002,107.94725119714911,0.0673475,0.014838331,0.000266604
D,car,629,6768000.0,2412756.05,5314785.94,0.0,0.0,0.0,4.769475357710652,230124.33,16.93893481717011,35.649468823877065,0.6768,0.5314785940000001,0.023012433
D,credit_card,14754,260787375.0,89010114.71743736,210939077.01,0.0,0.0,0.0,4.751253897248204,9766172.61,16.988447200759115,34.13129746692582,26.0787375,21.093907701,0.9766172609999999
D,debt_consolidation,62616,1053871050.0,359041897.11998236,849647668.84,0.0,0.0,0.0,5.038648268813082,39300380.48,17.00924188705762,34.06886422394679,105.387105,84.964766884,3.9300380479999997
D,home_improvement,5426,88288375.0,30325987.05,70724122.1,0.0,0.0,0.0,5.105049760412827,3842949.89,17.031461481754512,34.34878833141962,8.8288375,7.0724122099999995,0.38429498900000003
D,house,474,6412475.0,2288300.24,4994649.78,0.0,0.0,0.0,4.641350210970464,249063.91,17.087552742616033,35.68513311942737,0.6412475,0.499464978,0.024906391
D,major_purchase,1615,22440800.0,7746164.93,17883114.83,0.0,0.0,0.0,6.006191950464396,1147183.02,17.079287925696594,34.51822096360201,2.24408,1.7883114829999998,0.11471830200000001
D,medical,1192,10670675.0,3959132.35,8198142.95,0.0,0.0,0.0,4.781879194630872,363958.21,17.086921140939598,37.102923198391856,1.0670675,0.819814295,0.036395821
D,moving,1020,7343100.0,2954699.55,5421929.03,0.0,0.0,0.0,5.588235294117648,351270.09,17.167039215686277,40.23776810883686,0.73431,0.542192903,0.035127009
D,other,6641,65160600.0,26300914.1,48450278.52,0.0,0.0,0.0,4.773377503388044,2319820.8,17.18678813431712,40.36321657566076,6.51606,4.845027852,0.23198207999999998
D,renewable_energy,96,833050.0,335619.72000000003,604078.26,0.0,0.0,0.0,10.416666666666668,52615.57,16.911666666666665,40.288064341876236,0.083305,0.060407826,0.005261557
D,small_business,1514,22345925.0,9551338.95,16242732.86,0.0,0.0,0.0,6.53896961690885,1189720.95,17.19743064729194,42.74309051874111,2.2345925,1.624273286,0.118972095
D,vacation,739,4588600.0,1900375.5,3328328.65,0.0,0.0,0.0,4.871447902571042,247565.94999999998,17.145683355886334,41.41514841128013,0.45886,0.332832865,0.024756595
D,wedding,132,1283700.0,1458884.89,273531.69,0.0,0.0,0.0,4.545454545454546,16463.29,18.665075757575757,113.64687154319543,0.12837,0.027353169,0.0016463290000000002
E,car,291,3959075.0,1156084.61,3359505.58,0.0,0.0,0.0,5.498281786941581,219034.76,19.541958762886598,29.2008767199409,0.3959075,0.335950558,0.021903476
E,credit_card,5722,111581425.0,37920514.24,93646347.55,0.0,0.0,0.0,5.976931142957008,5547355.15,19.709494931842013,33.984611901129604,11.1581425,9.364634754999999,0.5547355150000001
E,debt_consolidation,33643,640470275.0,207831366.38,541502731.65,0.0,0.0,0.0,6.295514668727521,32664143.1,19.749708706120142,32.44980672678369,64.0470275,54.150273164999994,3.26641431
E,home_improvement,3043,58042575.0,19035314.66,48719230.85,0.0,0.0,0.0,5.619454485704897,2832109.36,19.76144594150509,32.795434489252074,5.8042575,4.871923085,0.28321093599999997
E,house,411,6468275.0,2237204.4,5259729.04,0.0,0.0,0.0,7.542579075425791,344574.39,19.769975669099757,34.58734206569758,0.6468275,0.525972904,0.034457439
E,major_purchase,846,14887825.0,4586250.66,12582644.03,0.0,0.0,0.0,6.8557919621749415,859872.96,19.71161938534279,30.805377279757117,1.4887825,1.2582644029999999,0.08598729599999999
E,medical,617,7142925.0,2533421.80877864,5783858.54,0.0,0.0,0.0,6.3209076175040515,357465.7,20.02222042139384,35.46756838100134,0.7142925,0.578385854,0.03574657
E,moving,516,4842375.0,1816460.52,3806988.5100000002,0.0,0.0,0.0,6.2015503875969,256345.38,19.92156976744186,37.51176891504685,0.4842375,0.380698851,0.025634538000000002
E,other,3551,44147800.0,16711136.05,35022320.53,0.0,0.0,0.0,5.885666009574768,1942297.18,19.98803717262743,37.85270398524955,4.41478,3.502232053,0.194229718
E,renewable_energy,55,756700.0,245522.92,619001.92,0.0,0.0,0.0,5.454545454545454,50885.92,19.684363636363635,32.44653363287961,0.07567,0.06190019200000001,0.005088591999999999
E,small_business,1138,19337875.0,7957673.76,14924421.04,0.0,0.0,0.0,7.732864674868189,985652.69,19.94720562390158,41.15071464677479,1.9337875,1.492442104,0.098565269
E,vacation,296,2288250.0,1003555.66,1704775.13,0.0,0.0,0.0,6.756756756756757,142241.96,20.119121621621623,43.85690636949634,0.228825,0.170477513,0.014224196
E,wedding,60,615825.0,686852.22,195801.36,0.0,0.0,0.0,1.6666666666666667,566.5,21.048499999999997,111.5336694677871,0.0615825,0.019580135999999998,5.665e-05
F,car,97,1490500.0,499124.99,1270324.07,0.0,0.0,0.0,7.216494845360824,109300.65000000001,23.821340206185567,33.48708419993291,0.14905,0.127032407,0.010930065000000001
F,credit_card,1131,24014550.0,10227640.22,19728775.1,0.0,0.0,0.0,8.664898320070733,1755571.7,23.57338638373121,42.5893477912349,2.401455,1.9728775100000002,0.17555716999999998
F,debt_consolidation,9645,194703775.0,72694530.02,164913305.22,0.0,0.0,0.0,8.7817522032141,14268958.4,23.756533955417314,37.33596332171783,19.4703775,16.491330522,1.42689584
F,home_improvement,964,20254625.0,6659170.41,17534704.88,0.0,0.0,0.0,7.468879668049793,1380333.52,23.732427385892112,32.877283139036145,2.0254625,1.7534704879999998,0.138033352
F,house,215,3293800.0,1171851.7,2752178.9,0.0,0.0,0.0,8.372093023255815,222690.63,24.013674418604648,35.57750015180035,0.32938,0.27521788999999997,0.022269063000000002
F,major_purchase,297,5591375.0,1799601.04,4828912.55,0.0,0.0,0.0,9.427609427609427,412687.06,23.797845117845117,32.185303972636426,0.5591375,0.48289125499999996,0.041268706
F,medical,239,3172425.0,1418306.89,2511690.38,0.0,0.0,0.0,7.112970711297072,178835.47,23.920543933054393,44.70734185993364,0.3172425,0.251169038,0.017883547
F,moving,202,2188575.0,845183.8099999999,1792910.5,0.0,0.0,0.0,6.435643564356436,202390.38,23.972970297029704,38.61799618473207,0.2188575,0.17929105,0.020239038
F,other,1397,19389300.0,8539289.39,15592776.64,0.0,0.0,0.0,7.516105941302792,1309547.01,23.8886542591267,44.04124640910193,1.93893,1.5592776640000001,0.130954701
F,renewable_energy,28,290975.0,143978.32,219995.82,0.0,0.0,0.0,3.571428571428571,7330.02,23.580000000000002,49.481336884612084,0.0290975,0.021999582,0.0007330020000000001
F,small_business,528,9702425.0,4609263.96,7509788.53,0.0,0.0,0.0,10.984848484848484,886739.28,23.876893939393938,47.5063085774948,0.9702425,0.750978853,0.088673928
F,vacation,84,821250.0,368527.05,645701.09,0.0,0.0,0.0,11.904761904761903,97515.44,23.810119047619047,44.873917808219176,0.082125,0.064570109,0.009751544000000001
F,wedding,39,652950.0,617109.95,376334.77,0.0,0.0,0.0,7.6923076923076925,40517.64,23.857692307692307,94.51105750823187,0.065295,0.037633477,0.004051764
G,car,22,329250.0,79396.33,302247.44,0.0,0.0,0.0,31.818181818181817,96802.79999999999,26.631363636363634,24.11429916476841,0.032925,0.030224744,0.00968028
G,credit_card,162,3379750.0,1858717.11,2629674.91,0.0,0.0,0.0,12.345679012345679,329869.62,26.049259259259255,54.99569820252977,0.337975,0.262967491,0.032986962
G,debt_consolidation,2003,42677875.0,16702661.78,36548741.74,0.0,0.0,0.0,11.333000499251124,4336553.11,26.388027958062906,39.136582550091816,4.2677875,3.654874174,0.43365531100000004
G,home_improvement,223,5061350.0,1974717.15,4329522.29,0.0,0.0,0.0,11.659192825112108,452800.1,26.25251121076233,39.01562132632598,0.506135,0.432952229,0.045280009999999996
G,house,106,1924475.0,780849.59,1583875.34,0.0,0.0,0.0,16.9811320754717,255015.07,26.471792452830186,40.574680886995154,0.1924475,0.158387534,0.025501507
G,major_purchase,69,1436025.0,563820.9,1207211.3699999999,0.0,0.0,0.0,13.043478260869565,172764.37,26.056811594202898,39.2626103306001,0.1436025,0.12072113699999999,0.017276437
G,medical,46,783850.0,325023.57,665977.13,0.0,0.0,0.0,13.043478260869565,118317.62,26.37413043478261,41.46502136888435,0.078385,0.066597713,0.011831762
G,moving,46,662125.0,280525.77,552416.77,0.0,0.0,0.0,6.521739130434782,45115.9,26.325869565217392,42.367494053237685,0.0662125,0.055241677,0.00451159
G,other,385,6696525.0,2974321.91,5554616.45,0.0,0.0,0.0,10.909090909090908,634646.57,26.267012987012986,44.41590093369322,0.6696525,0.5554616450000001,0.063464657
G,renewable_energy,4,86725.0,26754.91,77924.02,0.0,0.0,0.0,0.0,0.0,26.744999999999997,30.85028538483713,0.0086725,0.007792402,0.0
G,small_business,205,4333000.0,1857221.55,3587523.65,0.0,0.0,0.0,11.219512195121952,406727.82,26.44531707317073,42.862255942764826,0.4333,0.358752365,0.040672782
G,vacation,16,281400.0,99927.65,246116.31,0.0,0.0,0.0,12.5,51523.68,26.37,35.51089196872779,0.02814,0.024611631,0.005152368
G,wedding,9,201025.0,176367.73,127500.5,0.0,0.0,0.0,0.0,0.0,24.869999999999997,87.73422708618331,0.0201025,0.01275005,0.0
