grade,Loans,Funded_Amount,Total_Repaid,Outstanding_Principal,Recoveries,Charged_Off_Rate,Bad_Loan_Rate,Delinquency_Rate,At_Risk_Outstanding,Avg_Interest_Rate,LRR,Funded_Crores,Outstanding_Crores,At_Risk_Outstanding_Crores
A,104313,1540502650.0,509086226.43,1111266873.24,0.0,0.0,0.0,0.9500254043120224,9110299.09,7.139831277022039,33.046760836795706,154.050265,111.126687324,0.911029909
B,175389,2488578425.0,863109115.9097697,1833836656.7,0.0,0.0,0.0,2.083368968407369,31686403.78,10.529205024260358,34.68281759735057,248.8578425,183.38366567,3.168640378
C,177079,2640834075.0,882281222.1394489,2061930855.54,0.0,0.0,0.0,3.3341051169252145,62002285.08,13.754560281004522,33.409188047509154,264.0834075,206.193085554,6.2002285079999995
D,96848,1550793725.0,537286185.1674197,1242022440.46,0.0,0.0,0.0,5.022302990252768,59077289.1,17.029349289608458,34.64588336320613,155.0793725,124.202244046,5.90772891
E,50189,914541200.0,303721357.8887786,767127355.73,0.0,0.0,0.0,6.232441371615295,46202545.05,19.774272250891627,33.21024333171415,91.45412,76.712735573,4.620254505
F,14866,285566525.0,109593577.75,239677398.45,0.0,0.0,0.0,8.590071303645903,20872417.2,23.768508004843266,38.37759966788825,28.5566525,23.967739845,2.0872417199999997
G,3296,67853375.0,27700305.95,57413347.92,0.0,0.0,0.0,11.620145631067961,6900136.66,26.344159587378638,40.823770298824485,6.7853375,5.741334792,0.690013666
