Annual Income Band,Loans,Funded_Amount,Total_Repaid,Outstanding_Principal,Recoveries,Charged_Off_Rate,Bad_Loan_Rate,Delinquency_Rate,At_Risk_Outstanding,Avg_Interest_Rate,LRR,Funded_Crores,Outstanding_Crores,At_Risk_Outstanding_Crores
<=25K,9819,52206925.0,50232020.87174589,254200.2,704414.54845688,24.360932885222528,24.971993074651184,0.0,0.0,13.85434056421224,96.21716060033394,5.2206925,0.02542002,0.0
25K-50K,77714,749555275.0,729932886.2811747,3805236.13,9501032.422892237,21.437578814627994,22.0179118305582,0.0,0.0,13.909709318784259,97.38212919403104,74.9555275,0.380523613,0.0
50K-75K,79833,1068472225.0,1061591316.1223981,4558893.21,13307724.03433908,17.8647927548758,18.34078639159245,0.0,0.0,13.89624641439004,99.35600489029073,106.8472225,0.455889321,0.0
75K-100K,45996,761956000.0,771830489.5929972,2491339.52,8753809.54883846,14.914340377424123,15.266544916949302,0.0,0.0,13.636097269327768,101.29593960714229,76.1956,0.249133952,0.0
100K-150K,30236,573514850.0,593831215.0621066,2303341.89,5907583.305281273,12.574414605106496,12.99113639370287,0.0,0.0,13.399250231512104,103.5424305163339,57.351485,0.23033418900000002,0.0
150K-250K,8759,188901975.0,196045536.08734983,588937.27,1795209.89562583,12.227423221828976,12.615595387601324,0.0,0.0,13.478908551204475,103.7816232929009,18.8901975,0.058893727,0.0
250K+,1833,44636925.0,46622249.78745034,132346.49,337377.95,10.965630114566286,11.292962356792144,0.0,0.0,13.597141298417895,104.44771853672793,4.4636925,0.013234649,0.0
