term,Loans,Funded_Amount,Total_Repaid,Outstanding_Principal,Recoveries,Charged_Off_Rate,Bad_Loan_Rate,Delinquency_Rate,At_Risk_Outstanding,Avg_Interest_Rate,LRR,Funded_Crores,Outstanding_Crores,At_Risk_Outstanding_Crores
36 months,197373,2328711500.0,2399407364.839514,5756510.33,18652304.5764168,14.73504481362699,15.097303075901971,0.0,0.0,12.721645919148008,103.03583611965304,232.87115,0.575651033,0.0
60 months,56817,1110532675.0,1050678348.9657089,8377784.38,21654847.12901696,28.450991780629035,29.33805023144481,0.0,0.0,17.43871587729025,94.61030482202686,111.0532675,0.837778438,0.0
